entertainment n.娱乐（活动）；招待
finite adj.有限的，有限制的
omit v.省略，遗漏；未做
commence v.开始发生；着手
doze v.瞌睡；假寐
popular adj.受欢迎的；流行的
dog n.狗
occasion n.时机；机会；理由；事件；场合
eligible adj.有资格的；令人中意的
pat v.轻拍，轻抚
team n.队；小组
patriotic adj.爱国的
simplicity n.简单；简明；单纯；质朴
depict v.描绘；描述，刻画
mingle v.（使）与…结合；使混合；相交往
seek v.寻找；谋求；试图
classmate n.同班同学
pink adj.粉红色的
punch n.一拳；打孔器
scale n.规模；程度；范围；刻度；等级；秤；鱼鳞
degree n.度；程度；学位
liable adj.（应）负有法律责任的；可能做…的
clap v.鼓掌，拍手；轻拍某人；急速放置
eventually adv.终于，最后
theirs pron.他们的；她们的；它们的
improve v.改善；提高
severe adj.严重的；严厉的；艰巨的
recall v.记起；使想到；召回（某人或某产品）
length n.长度；篇幅；持续时间
priority n.优先考虑的事；优先；优先权
widow n.寡妇，遗孀
computer n.计算机；电脑
staple adj.基本的，重要的
hostess n.女主人；女主持人；女招待
struggle v.努力；艰难地行进；斗争；搏斗
emphasis n.强调；重点；重读；重要性
adhere v.黏附，附着；遵守；追随
seven num.七
declare v.公布；断言；申报
cent n.分 （货币单位）
declaration n.公告；宣称；申报单；声明
loud adj.大声的；喧闹的；花哨的
instantaneous adj.瞬间的，即刻的
exile n.流放；流亡；流亡国外者
orient v.朝向；面对（某个目的）；确认方位；使熟悉；使适应
mysterious adj.神秘的；故弄玄虚的
comb n.梳子
ensure v.保证，确保
ecology n.生态（学）
preserve v.保护，维护；贮存
magnitude n.巨大，重大；星的亮度；震级
perplex v.迷惑，使困惑
locker n.储物柜，寄存柜
thrive v.繁荣；茁壮成长
lag v.落在后面
pillar n.柱子；支柱；栋梁；重要人物
silent adj.沉默寡言的；安静的
item n.一件 （物品）；项目；条款
act n.行为；法案；假装；一幕
designate v.指定；正式把…定为（或命名为）
investment n.投资（额）；投入
reassure v.使安心；打消疑虑
worthy adj.值得尊敬的；值得…的
rotate v.（使）旋转；（使）轮值
beautiful adj.美丽的；出色的
colonial adj.（与）殖民地（有关）的
variety n.（同一事物）不同种类；多样化；品种
cop n.警察
dare n.挑战，激将
snobbish adj.势利的；自命不凡的
inspect v.检查；审视；视察，检阅
snow n.雪，积雪
pull v.拉，扯，拔出；吸引；移开；拉伤
appraisal n.估计，估量；评价
nod n.点头
receive v.收到；遭受；对…作出反应；接待
pharmacy n.药房；药剂学
letter n.信；字母
southeast adj.东南部的
realm n.领域；范围；王国
exaggerate v.夸大，夸张
inn n.小旅馆，小酒馆
analogy n.类比；比喻
eccentric adj.古怪的，反常的
bother n.麻烦，困难；令人烦恼的情况
wealth n.财富；富裕；大量
particular adj.特指的；格外的；讲究的
venture v.冒险去…；小心地说（或做）
intersection n.十字路口；交叉
shine n.光亮，光泽
rag n.破布，抹布
strength n.力量；优势；强度；实力
saleswoman n.女售货员
scratch v.抓；搔；刮；划破；取消
elsewhere adv.在别处，到别处
sociable adj.好交际的；友好的；和蔼可亲的
dizzy adj.头晕目眩的
matter n.问题；麻烦事；物质；事态
rhythm n.韵律，节律；规律性变化
dirt n.污垢；泥土；丑闻
eye n.眼睛；视力；眼光
survive v.存活；幸存；比…活得长；艰难度过
plan n.计划；规划；详图
lightning n.闪电
robe n.礼袍；睡袍，浴衣
synthesis n.综合（体）；合成
saw v.锯
deploy v.部署，调度；有效利用
entry n.进入（资格），加入；入口；条目；参赛作品
virus n.病毒
strengthen v.加强，巩固
stereotype n.刻板印象；成见；陈规
abroad adv.到国外，在国外；广为流传
fashionable adj.时髦的；流行的；有钱人常去的
today adv.现在，当今
soil n.土壤，土地；国土
destructive adj.破坏性的，毁灭性的
lubricate v.使润滑
wave n.波浪；挥手；（光、声等的）波；（行为或思想的）浪潮
up-to-date adj.最新的，新式的
hip n.臀部；髋部
artifact n.人工制品，手工艺品
kick v.踢，踢腿
unusual adj.特别的，不寻常的
September n.九月
proportion n.比例；部分，份额
preclude v.妨碍，阻止
radio n.收音机；无线电广播
miserable adj.痛苦的；不友善的；可怜的
prophet n.预言者；提倡者
pool n.游泳池；水塘；（液体等）一摊；台球；公用的资源
price n.价格；赔率；代价
betray v.泄密；辜负；背叛；流露（情感等）
Thursday n.星期四
schedule n.日程安排；时刻表；节目表
bee n.蜜蜂；聚会
blur n.模糊
enjoy v.享受；喜爱；过得愉快；得到乐趣；享有
comic adj.滑稽的；喜剧的
pension n.养老金；抚恤金
tight adj.紧的；严密的；挤满的；拮据的；亲密的
poultry n.家禽；禽肉
painting n.画作；绘画；涂漆
dump v.丢弃；推卸；倾销
perhaps adv.或许，也许
divorce n.离婚；分离
cheese n.奶酪；“茄子”（要求照相的人说的口形词）
move v.移动；改变；搬家；使感动；采取行动
rumor n.传闻，谣言
movie n.电影（业）
twice adv.两倍；两次
notorious adj.声名狼藉的
rid v.使摆脱（讨厌的人或事）
damp adj.有湿气的，潮湿的
magistrate n.地方执法官
disperse v.（使）分散；散布
persuasion n.说服（力）；信仰
simplify v.简化；使易懂
glue n.胶，胶水
smart adj.聪明的；衣冠楚楚的；敏捷的；智能的
healthy adj.健康的
apply v.申请；运用；（对…）适用；涂、敷；施用（压力）
handbook n.手册，指南
